reporterDesc_cleaned;Total_Trade_Value;Num_Transactions;Average_Trade_Value;Total_Trade_Value_Formatted;Average_Trade_Value_Formatted
United States;3,7998E+11;96;3958125436;$379,980,041,869;$3,958,125,436
Switzerland;2,65215E+11;417;636007657,1;$265,215,193,004;$636,007,657
Germany;2,04476E+11;344;594406077,2;$204,475,690,572;$594,406,077
United Kingdom;1,79828E+11;595;302232748,6;$179,828,485,414;$302,232,749
Netherlands;1,77122E+11;48;3690032619;$177,121,565,695;$3,690,032,619
France;84118324551;180;467324025,3;$84,118,324,551;$467,324,025
Spain;77762464006;621;125221359,1;$77,762,464,006;$125,221,359
Ireland;64404243148;62;1038778115;$64,404,243,148;$1,038,778,115
Belgium;59920697175;48;1248347858;$59,920,697,175;$1,248,347,858
Italy;56016500919;129;434236441,2;$56,016,500,919;$434,236,441
China;55410745629;72;769593689,3;$55,410,745,629;$769,593,689
Mexico;42716661752;197;216835846,5;$42,716,661,752;$216,835,846
Canada;38236310184;397;96313123,89;$38,236,310,184;$96,313,124
Australia;37103958180;188;197361479,7;$37,103,958,180;$197,361,480
Singapore;34935403297;48;727820902;$34,935,403,297;$727,820,902
Japan;25767955979;44;585635363,2;$25,767,955,979;$585,635,363
Poland;21157163852;48;440774246,9;$21,157,163,852;$440,774,247
Malaysia;19065181960;183;104181322,2;$19,065,181,960;$104,181,322
Brazil;16416158288;214;76711020,04;$16,416,158,288;$76,711,020
Sweden;14898478280;264;56433629,85;$14,898,478,280;$56,433,630
Thailand;14140328903;476;29706573,32;$14,140,328,903;$29,706,573
Costa Rica;13897273300;54;257356913;$13,897,273,300;$257,356,913
Rep. Of Korea;12919595809;48;269158246;$12,919,595,809;$269,158,246
Austria;11756949516;48;244936448,3;$11,756,949,516;$244,936,448
Türkiye;11075030132;229;48362577;$11,075,030,132;$48,362,577
India;8869635903;56;158386355,4;$8,869,635,903;$158,386,355
Portugal;8821860577;436;20233625,18;$8,821,860,577;$20,233,625
China, Hong Kong Sar;8773735961;48;182786165,9;$8,773,735,961;$182,786,166
Czechia;8559587286;245;34937090,96;$8,559,587,286;$34,937,091
Denmark;7601383819;48;158362162,9;$7,601,383,819;$158,362,163
